time,symbol,price,day_volume
2022-10-19 23:59:59+00,TSLA,208.15,
2022-10-19 23:59:59+00,AAPL,143.035,
2022-10-19 23:59:59+00,CVX,168.67,
2022-10-19 23:59:59+00,SNAP,10.92,
2022-10-19 23:59:59+00,BA,137.8,
2022-10-19 23:59:59+00,CVX,168.67,
2022-10-19 23:59:58+00,TSLA,208.16,
2022-10-19 23:59:57+00,MSFT,234.55,
2022-10-19 23:59:57+00,BA,137.8,
2022-10-19 23:59:57+00,C,42.99,
2022-10-19 23:59:56+00,BAC,33.82,
2022-10-19 23:59:56+00,BAC,33.82,
2022-10-19 23:59:56+00,BAC,33.82,
2022-10-19 23:59:55+00,SNAP,10.92,
2022-10-19 23:59:54+00,INTC,25.98,
2022-10-19 23:59:54+00,TSLA,208.08,
2022-10-19 23:59:54+00,IBM,126.07,
2022-10-19 23:59:54+00,CVX,168.22,
2022-10-19 23:59:54+00,IBM,126.07,
2022-10-19 23:59:52+00,AAPL,143.06,
2022-10-19 23:59:51+00,AMZN,113.88,
2022-10-19 23:59:50+00,TSLA,208.045,
2022-10-19 23:59:50+00,INTC,25.95,
2022-10-19 23:59:50+00,WFC,43.46,
2022-10-19 23:59:50+00,WFC,43.46,
2022-10-19 23:59:49+00,USB,41.27,
2022-10-19 23:59:49+00,XOM,104.32,
2022-10-19 23:59:49+00,MSFT,234.5,
2022-10-19 23:59:49+00,SQ,53.66,
2022-10-19 23:59:49+00,USB,41.27,
2022-10-19 23:59:49+00,XOM,104.32,
2022-10-19 23:59:49+00,DIS,98.58,
2022-10-19 23:59:49+00,SQ,53.66,
2022-10-19 23:59:49+00,XOM,104.32,
2022-10-19 23:59:49+00,SQ,53.66,
2022-10-19 23:59:49+00,USB,41.27,
2022-10-19 23:59:48+00,C,42.98,
2022-10-19 23:59:48+00,IBM,126.01,
2022-10-19 23:59:48+00,C,42.98,
2022-10-19 23:59:48+00,C,42.98,
2022-10-19 23:59:47+00,DIS,98.58,
2022-10-19 23:59:47+00,TSLA,208.005,
2022-10-19 23:59:47+00,DIS,98.58,
2022-10-19 23:59:46+00,BA,137.9,
2022-10-19 23:59:46+00,TSLA,208,
2022-10-19 23:59:46+00,BA,137.9,
2022-10-19 23:59:45+00,TSLA,207.91,
2022-10-19 23:59:45+00,AAPL,143,
2022-10-19 23:59:45+00,AMD,56.71,
2022-10-19 23:59:44+00,NVDA,119.05,
2022-10-19 23:59:43+00,TSLA,207.93,
2022-10-19 23:59:43+00,MSFT,234.45,
2022-10-19 23:59:42+00,MSFT,234.47,
2022-10-19 23:59:42+00,SNAP,10.92,
2022-10-19 23:59:42+00,IBM,126.01,
2022-10-19 23:59:42+00,HD,275.32,
2022-10-19 23:59:42+00,HD,275.32,
2022-10-19 23:59:39+00,NVDA,119.05,
